yyyy,mm,tmax,tmin,af,rain,sun
1924.0,9.0,16.2,10.3,0.0,89.3,nan
1924.0,10.0,12.9,7.2,0.0,102.3,nan
1924.0,11.0,9.4,5.1,0.0,55.6,nan
1924.0,12.0,9.0,5.1,0.0,73.5,nan
1925.0,1.0,7.5,2.7,1.0,84.8,nan
1925.0,2.0,7.6,1.9,3.0,98.2,nan
1925.0,3.0,7.6,2.4,7.0,24.3,nan
1925.0,4.0,11.1,3.6,1.0,75.0,nan
1925.0,5.0,15.8,7.7,0.0,94.6,nan
1925.0,6.0,19.3,10.2,0.0,2.2,nan
1925.0,7.0,21.8,12.6,0.0,23.2,nan
1925.0,8.0,19.5,12.1,0.0,79.4,nan
1925.0,9.0,14.9,8.2,0.0,60.8,nan
1925.0,10.0,13.7,7.2,0.0,91.2,nan
1925.0,11.0,6.5,1.6,12.0,62.0,nan
1925.0,12.0,5.3,0.8,14.0,78.2,nan
1926.0,1.0,6.8,2.2,9.0,83.8,nan
1926.0,2.0,9.0,4.0,4.0,55.6,nan
1926.0,3.0,9.1,3.2,3.0,35.2,nan
1926.0,4.0,13.2,5.7,0.0,45.1,nan
1926.0,5.0,13.5,6.0,0.0,74.1,nan
1926.0,6.0,17.6,9.6,0.0,77.5,nan
1926.0,7.0,20.9,13.0,0.0,62.1,nan
1926.0,8.0,20.6,11.9,0.0,70.2,nan
1926.0,9.0,17.8,10.4,0.0,34.1,nan
1926.0,10.0,11.2,5.0,3.0,78.0,nan
1926.0,11.0,8.6,3.3,1.0,95.0,nan
1926.0,12.0,6.7,2.4,4.0,30.7,nan
1927.0,1.0,7.2,2.7,4.0,47.9,nan
1927.0,2.0,7.4,1.8,8.0,38.2,nan
1927.0,3.0,10.3,3.9,0.0,74.6,nan
1927.0,4.0,11.7,4.5,0.0,56.7,nan
1927.0,5.0,14.4,6.3,0.0,33.8,nan
1927.0,6.0,15.8,8.3,0.0,105.4,nan
1927.0,7.0,19.0,11.9,0.0,67.5,nan
1927.0,8.0,19.4,12.1,0.0,127.5,nan
1927.0,9.0,15.5,9.6,0.0,99.8,nan
1927.0,10.0,13.4,7.2,0.0,64.5,nan
1927.0,11.0,8.5,3.7,2.0,84.2,nan
1927.0,12.0,3.0,0.0,11.0,66.7,nan
1928.0,1.0,8.0,2.5,1.0,167.7,nan
1928.0,2.0,8.9,2.8,1.0,104.9,nan
1928.0,3.0,8.7,2.9,4.0,72.2,nan
1928.0,4.0,11.8,4.0,2.0,31.9,nan
1928.0,5.0,13.8,6.3,0.0,31.9,nan
1928.0,6.0,16.6,8.6,0.0,77.2,nan
1928.0,7.0,20.3,12.2,0.0,17.7,nan
1928.0,8.0,19.5,11.4,0.0,64.3,nan
1928.0,9.0,17.0,8.8,0.0,6.0,nan
1928.0,10.0,12.9,7.1,0.0,122.0,nan
1928.0,11.0,10.4,5.3,1.0,118.1,nan
1928.0,12.0,6.0,1.4,9.0,57.2,nan
1929.0,1.0,3.8,0.3,12.0,40.5,23.7
1929.0,2.0,2.6,-2.5,17.0,17.1,16.9
1929.0,3.0,12.1,2.4,6.0,3.3,nan
1929.0,4.0,10.1,2.9,3.0,25.9,108.0
1929.0,5.0,15.9,6.7,0.0,52.1,188.3
1929.0,6.0,17.3,9.3,0.0,38.0,192.0
1929.0,7.0,20.9,11.9,0.0,25.3,193.8
1929.0,8.0,19.1,11.2,0.0,47.7,154.2
1929.0,9.0,20.1,10.9,0.0,37.3,178.9
1929.0,10.0,12.7,6.4,0.0,85.9,106.8
1929.0,11.0,9.4,3.9,4.0,153.2,57.5
1929.0,12.0,7.8,3.1,2.0,186.2,56.0
1930.0,1.0,8.1,2.4,6.0,120.5,54.2
1930.0,2.0,4.4,0.6,12.0,22.2,29.1
1930.0,3.0,8.1,2.1,9.0,76.2,88.2
1930.0,4.0,11.0,4.8,0.0,64.5,75.1
1930.0,5.0,14.1,6.6,0.0,38.3,119.9
1930.0,6.0,19.7,10.5,0.0,27.1,187.7
1930.0,7.0,18.6,11.4,0.0,149.4,162.1
1930.0,8.0,19.9,11.9,0.0,62.3,179.2
1930.0,9.0,16.7,10.5,0.0,127.9,111.5
1930.0,10.0,13.4,7.6,0.0,79.1,123.7
1930.0,11.0,9.3,3.5,4.0,83.4,67.9
1930.0,12.0,6.5,1.8,7.0,68.3,16.5
1931.0,1.0,6.1,1.2,7.0,61.0,48.0
1931.0,2.0,5.8,1.6,5.0,83.4,44.8
1931.0,3.0,7.3,-0.3,17.0,5.4,114.1
1931.0,4.0,10.8,4.7,1.0,83.8,101.2
1931.0,5.0,15.3,7.2,0.0,78.3,147.9
1931.0,6.0,17.8,10.5,0.0,111.8,133.9
1931.0,7.0,19.2,12.3,0.0,104.1,128.6
1931.0,8.0,17.8,10.5,0.0,145.2,145.7
1931.0,9.0,15.0,9.1,0.0,94.3,80.4
1931.0,10.0,12.8,5.5,5.0,20.0,122.8
1931.0,11.0,10.1,5.1,0.0,104.7,31.8
1931.0,12.0,8.1,3.2,9.0,35.9,39.1
1932.0,1.0,9.2,3.3,8.0,68.6,49.8
1932.0,2.0,6.3,1.6,8.0,10.1,26.8
1932.0,3.0,8.0,2.0,8.0,41.1,45.3
1932.0,4.0,9.8,3.2,1.0,82.2,117.6
1932.0,5.0,13.0,6.8,1.0,170.7,86.4
1932.0,6.0,18.0,9.4,0.0,17.2,158.7
1932.0,7.0,19.6,12.7,0.0,122.1,135.9
1932.0,8.0,21.0,13.5,0.0,61.0,151.2
1932.0,9.0,17.0,9.4,0.0,46.3,143.2
1932.0,10.0,11.8,5.9,0.0,101.1,85.7
1932.0,11.0,8.8,4.5,0.0,59.0,26.1
1932.0,12.0,7.8,3.8,3.0,30.0,33.5
1933.0,1.0,5.2,0.2,13.0,53.1,34.2
1933.0,2.0,6.7,1.7,8.0,113.2,73.3
1933.0,3.0,11.5,3.0,2.0,64.2,126.8
1933.0,4.0,13.0,5.5,1.0,33.8,112.1
1933.0,5.0,15.7,8.3,0.0,48.0,121.2
1933.0,6.0,20.4,10.8,0.0,26.7,211.0
1933.0,7.0,23.0,13.6,0.0,53.0,207.8
1933.0,8.0,22.7,13.4,0.0,11.5,218.7
1933.0,9.0,19.7,11.1,0.0,41.1,141.7
1933.0,10.0,12.9,7.7,0.0,128.0,70.0
1933.0,11.0,8.3,4.5,0.0,46.4,40.7
1933.0,12.0,4.6,0.7,9.0,14.8,10.9
1934.0,1.0,7.5,1.8,7.0,68.7,47.4
1934.0,2.0,7.7,2.0,6.0,7.5,76.4
1934.0,3.0,7.9,1.8,2.0,77.0,75.3
1934.0,4.0,11.3,4.1,2.0,65.3,109.5
1934.0,5.0,16.0,7.4,0.0,33.1,169.1
1934.0,6.0,19.3,10.2,0.0,23.3,161.0
1934.0,7.0,23.8,13.4,0.0,39.6,225.8
1934.0,8.0,19.6,11.2,0.0,27.5,159.5
1934.0,9.0,19.1,10.2,0.0,45.1,142.4
1934.0,10.0,13.1,7.7,0.0,66.1,84.0
1934.0,11.0,8.6,4.7,2.0,50.0,31.8
1934.0,12.0,9.5,6.0,0.0,123.6,14.3
1935.0,1.0,6.9,3.0,3.0,38.0,46.0
1935.0,2.0,8.0,3.2,2.0,101.5,43.1
1935.0,3.0,9.6,3.6,4.0,39.0,96.9
1935.0,4.0,11.5,4.2,0.0,63.3,128.6
1935.0,5.0,14.0,5.3,0.0,9.7,185.2
1935.0,6.0,19.7,10.8,0.0,77.2,189.9
1935.0,7.0,22.2,12.7,0.0,17.0,238.8
1935.0,8.0,22.4,12.4,0.0,50.7,192.1
1935.0,9.0,17.4,9.5,0.0,104.2,140.3
1935.0,10.0,12.5,6.0,1.0,128.6,73.7
1935.0,11.0,9.1,4.2,0.0,147.6,51.1
1935.0,12.0,5.1,0.9,11.0,94.5,32.5
1936.0,1.0,5.5,1.3,10.0,81.9,32.9
1936.0,2.0,4.2,-0.8,17.0,69.5,38.1
1936.0,3.0,9.4,3.5,2.0,52.7,41.9
1936.0,4.0,9.7,3.0,2.0,39.9,146.5
1936.0,5.0,14.6,6.9,0.0,34.5,137.0
1936.0,6.0,18.8,10.2,0.0,87.2,151.6
1936.0,7.0,18.9,12.0,0.0,93.0,146.3
1936.0,8.0,20.3,12.5,0.0,32.6,165.6
1936.0,9.0,17.5,11.7,0.0,64.5,75.0
1936.0,10.0,12.9,6.9,0.0,74.3,91.5
1936.0,11.0,8.5,3.1,5.0,76.8,39.3
1936.0,12.0,8.1,2.7,6.0,67.4,42.2
1937.0,1.0,7.2,2.2,8.0,139.3,25.6
1937.0,2.0,7.3,2.7,1.0,131.9,57.4
1937.0,3.0,5.5,0.2,13.0,84.9,78.3
1937.0,4.0,11.7,5.2,1.0,56.5,80.5
1937.0,5.0,16.0,7.8,0.0,77.7,166.1
1937.0,6.0,17.9,10.4,0.0,27.7,156.2
1937.0,7.0,19.7,12.5,0.0,75.3,135.0
1937.0,8.0,21.3,12.5,0.0,14.9,153.8
1937.0,9.0,17.5,9.5,0.0,50.1,140.0
1937.0,10.0,13.5,7.9,0.0,85.5,59.9
1937.0,11.0,8.0,3.2,4.0,59.9,34.4
1937.0,12.0,5.1,1.2,10.0,95.1,17.1
1938.0,1.0,8.3,3.4,0.0,93.9,41.1
1938.0,2.0,7.2,2.7,0.0,27.1,38.0
1938.0,3.0,13.8,6.1,0.0,7.2,128.4
1938.0,4.0,11.6,4.3,0.0,4.8,112.7
1938.0,5.0,14.9,6.6,0.0,67.1,150.0
1938.0,6.0,18.5,10.6,0.0,50.6,183.8
1938.0,7.0,18.7,11.3,0.0,96.1,128.7
1938.0,8.0,19.7,12.1,0.0,78.4,131.0
1938.0,9.0,17.1,10.4,0.0,58.7,107.3
1938.0,10.0,13.4,7.4,0.0,119.8,88.1
1938.0,11.0,11.7,6.4,0.0,101.8,74.4
1938.0,12.0,6.3,1.7,7.0,84.1,30.1
1939.0,1.0,6.0,1.9,7.0,148.9,20.7
1939.0,2.0,8.2,2.6,3.0,45.0,71.6
1939.0,3.0,8.3,3.1,0.0,55.4,88.6
1939.0,4.0,12.2,4.7,1.0,48.4,150.7
1939.0,5.0,15.6,7.2,0.0,49.2,163.1
1939.0,6.0,18.4,9.2,0.0,60.3,188.4
1939.0,7.0,19.1,12.0,0.0,129.3,133.0
1939.0,8.0,19.9,12.6,0.0,61.4,90.2
1939.0,9.0,17.2,11.0,0.0,49.3,80.9
1939.0,10.0,11.0,5.3,0.0,94.8,74.4
1939.0,11.0,10.7,5.8,0.0,136.6,41.9
1939.0,12.0,5.8,2.6,2.0,57.7,31.9
1940.0,1.0,1.8,-3.5,27.0,83.3,32.8
1940.0,2.0,3.5,-0.8,15.0,63.1,14.3
1940.0,3.0,9.5,2.6,7.0,53.4,104.3
1940.0,4.0,11.8,4.4,1.0,69.1,105.1
1940.0,5.0,17.4,7.9,0.0,28.8,193.9
1940.0,6.0,22.4,11.6,0.0,15.1,278.9
1940.0,7.0,19.5,11.4,0.0,69.5,169.8
1940.0,8.0,19.7,11.7,0.0,7.7,172.0
1940.0,9.0,16.8,9.0,0.0,34.2,154.6
1940.0,10.0,12.2,6.9,1.0,106.9,52.2
1940.0,11.0,9.2,4.6,1.0,173.0,43.5
1940.0,12.0,6.5,2.3,1.0,61.3,28.3
1941.0,1.0,1.7,-1.4,22.0,125.5,19.8
1941.0,2.0,5.4,0.5,13.0,87.7,65.6
1941.0,3.0,7.9,1.1,5.0,125.1,96.9
1941.0,4.0,8.9,3.2,1.0,46.4,70.6
1941.0,5.0,13.0,5.2,1.0,77.6,115.9
1941.0,6.0,19.8,10.3,0.0,6.0,203.4
1941.0,7.0,22.4,13.5,0.0,106.2,208.3
1941.0,8.0,18.6,11.3,0.0,69.6,175.7
1941.0,9.0,18.2,11.4,0.0,8.5,62.7
1941.0,10.0,13.0,7.9,0.0,108.8,58.6
1941.0,11.0,8.5,3.8,1.0,92.5,25.3
1941.0,12.0,8.6,4.1,3.0,28.2,39.3
1942.0,1.0,3.2,-0.8,18.0,84.0,19.6
1942.0,2.0,2.5,-2.4,25.0,31.1,24.3
1942.0,3.0,7.4,1.5,7.0,57.1,36.1
1942.0,4.0,13.1,4.4,0.0,36.0,182.1
1942.0,5.0,15.2,6.8,0.0,114.3,190.1
1942.0,6.0,19.3,10.2,0.0,29.4,190.4
1942.0,7.0,19.7,11.5,0.0,52.3,183.5
1942.0,8.0,19.9,12.9,0.0,84.8,103.6
1942.0,9.0,17.2,10.2,0.0,29.4,120.4
1942.0,10.0,13.7,7.8,0.0,67.6,78.8
1942.0,11.0,8.5,4.1,0.0,37.0,39.9
1942.0,12.0,8.9,4.3,4.0,58.1,25.3
1943.0,1.0,6.4,2.2,7.0,117.6,29.8
1943.0,2.0,8.9,3.4,1.0,41.1,101.8
1943.0,3.0,10.6,3.4,2.0,33.4,112.7
1943.0,4.0,14.5,6.8,0.0,48.0,163.3
1943.0,5.0,16.8,7.2,0.0,69.6,222.8
1943.0,6.0,18.5,10.7,0.0,39.3,188.4
1943.0,7.0,21.0,11.6,0.0,32.6,211.3
1943.0,8.0,19.5,12.0,0.0,61.9,111.7
1943.0,9.0,16.6,10.0,0.0,83.2,121.0
1943.0,10.0,14.0,7.7,0.0,48.3,86.5
1943.0,11.0,8.6,4.3,0.0,59.8,47.8
1943.0,12.0,6.5,2.3,6.0,26.5,30.0
1944.0,1.0,8.8,3.4,4.0,96.2,41.2
1944.0,2.0,5.9,1.1,8.0,50.6,41.3
1944.0,3.0,8.7,2.5,7.0,11.0,95.8
1944.0,4.0,13.8,6.2,1.0,58.5,125.6
1944.0,5.0,15.3,7.0,0.0,60.0,163.3
1944.0,6.0,16.8,9.4,0.0,56.3,146.3
1944.0,7.0,19.5,12.8,0.0,58.2,99.7
1944.0,8.0,20.8,12.5,0.0,64.1,142.0
1944.0,9.0,15.9,9.1,0.0,111.7,101.7
1944.0,10.0,11.7,6.8,0.0,77.3,61.9
1944.0,11.0,8.8,3.7,0.0,142.1,31.1
1944.0,12.0,6.5,1.8,6.0,61.9,38.8
1945.0,1.0,3.4,-1.0,17.0,75.2,49.1
1945.0,2.0,10.1,4.2,1.0,69.1,59.4
1945.0,3.0,12.2,5.1,0.0,13.7,114.5
1945.0,4.0,14.3,6.0,1.0,44.5,163.6
1945.0,5.0,16.1,8.0,0.0,78.8,142.6
1945.0,6.0,18.5,10.9,0.0,80.4,162.8
1945.0,7.0,20.9,13.2,0.0,45.3,192.0
1945.0,8.0,20.1,11.9,0.0,66.8,150.5
1945.0,9.0,17.5,11.0,0.0,20.9,77.5
1945.0,10.0,15.2,8.9,0.0,136.8,75.5
1945.0,11.0,9.3,5.7,0.0,9.9,22.8
1945.0,12.0,7.6,3.0,4.0,42.5,33.6
1946.0,1.0,5.7,0.6,16.0,108.1,31.5
1946.0,2.0,8.2,3.5,6.0,111.8,71.0
1946.0,3.0,8.8,2.0,9.0,32.9,102.9
1946.0,4.0,14.1,6.3,0.0,29.2,150.5
1946.0,5.0,13.9,6.0,0.0,60.7,143.6
1946.0,6.0,17.1,9.5,0.0,85.3,178.9
1946.0,7.0,20.3,12.8,0.0,63.9,170.7
1946.0,8.0,18.2,11.1,0.0,110.2,130.1
1946.0,9.0,17.0,10.7,0.0,113.0,98.0
1946.0,10.0,11.7,7.5,0.0,32.0,47.5
1946.0,11.0,10.2,5.8,0.0,158.2,22.5
1946.0,12.0,5.8,1.3,6.0,80.4,45.3
1947.0,1.0,3.7,0.0,16.0,85.4,34.8
1947.0,2.0,-0.6,-3.5,28.0,69.0,18.5
1947.0,3.0,5.3,0.2,14.0,141.4,58.5
1947.0,4.0,11.9,5.0,0.0,88.5,142.0
1947.0,5.0,18.2,8.5,0.0,56.8,151.3
1947.0,6.0,19.8,11.7,0.0,68.4,168.6
1947.0,7.0,20.6,13.6,0.0,32.8,116.7
1947.0,8.0,23.9,13.3,0.0,12.7,239.0
1947.0,9.0,18.8,11.1,0.0,35.5,145.5
1947.0,10.0,14.6,8.2,0.0,14.0,83.1
1947.0,11.0,9.8,4.7,5.0,72.6,89.2
1947.0,12.0,7.6,3.4,6.0,94.0,22.8
1948.0,1.0,7.2,2.6,1.0,165.3,32.4
1948.0,2.0,6.5,2.3,8.0,59.0,34.8
1948.0,3.0,12.4,4.0,2.0,26.1,131.2
1948.0,4.0,12.9,4.9,0.0,42.1,154.7
1948.0,5.0,15.9,6.5,0.0,38.4,216.8
1948.0,6.0,16.9,9.7,0.0,72.5,151.8
1948.0,7.0,19.7,11.7,0.0,24.2,171.6
1948.0,8.0,18.5,11.5,0.0,118.9,108.0
1948.0,9.0,16.7,10.8,0.0,37.4,101.0
1948.0,10.0,13.4,7.2,0.0,37.1,78.3
1948.0,11.0,10.6,4.9,3.0,28.0,62.9
1948.0,12.0,7.9,3.0,5.0,87.6,33.0
1949.0,1.0,7.8,3.0,3.0,34.4,48.0
1949.0,2.0,8.9,2.8,5.0,38.4,96.0
1949.0,3.0,7.2,1.9,8.0,32.5,90.3
1949.0,4.0,13.7,6.0,0.0,66.4,148.3
1949.0,5.0,15.6,6.7,0.0,41.0,225.2
1949.0,6.0,20.2,9.9,0.0,13.3,227.1
1949.0,7.0,21.6,12.7,0.0,114.8,170.4
1949.0,8.0,21.1,12.5,0.0,41.6,181.0
1949.0,9.0,19.9,12.3,0.0,28.0,126.9
1949.0,10.0,14.5,8.1,1.0,84.2,92.7
1949.0,11.0,8.9,4.0,1.0,112.9,46.8
1949.0,12.0,8.0,3.3,0.0,105.7,35.0
1950.0,1.0,6.4,2.3,9.0,35.7,15.8
1950.0,2.0,8.0,1.8,5.0,147.9,65.6
1950.0,3.0,11.4,4.0,1.0,25.5,114.2
1950.0,4.0,10.7,3.4,1.0,78.0,141.4
1950.0,5.0,13.9,6.8,0.0,38.9,112.7
1950.0,6.0,21.1,11.4,0.0,28.4,248.8
1950.0,7.0,19.9,12.2,0.0,43.1,184.2
1950.0,8.0,19.8,11.8,0.0,84.6,160.9
1950.0,9.0,16.1,9.6,0.0,87.1,106.4
1950.0,10.0,12.6,7.0,0.0,35.4,90.5
1950.0,11.0,8.1,3.3,2.0,119.3,34.5
1950.0,12.0,3.2,-0.3,16.0,50.6,36.1
1951.0,1.0,5.9,1.6,8.0,68.8,41.7
1951.0,2.0,5.7,1.0,2.0,92.4,41.1
1951.0,3.0,6.5,0.9,7.0,102.5,75.7
1951.0,4.0,10.3,3.4,0.0,31.8,146.1
1951.0,5.0,13.0,5.8,0.0,100.6,118.2
1951.0,6.0,17.9,9.4,0.0,14.7,206.8
1951.0,7.0,20.6,12.3,0.0,32.9,184.9
1951.0,8.0,18.4,11.2,0.0,133.1,143.7
1951.0,9.0,17.7,10.7,0.0,45.1,113.5
1951.0,10.0,13.5,6.5,0.0,23.7,96.3
1951.0,11.0,10.6,6.0,0.0,199.2,50.9
1951.0,12.0,8.2,2.6,4.0,92.9,38.8
1952.0,1.0,5.0,0.7,7.0,89.9,52.9
1952.0,2.0,6.4,0.9,11.0,19.7,60.5
1952.0,3.0,9.0,3.5,5.0,57.0,61.8
1952.0,4.0,13.7,5.4,0.0,40.8,140.7
1952.0,5.0,17.6,9.0,0.0,74.4,173.9
1952.0,6.0,18.4,10.3,0.0,37.4,192.8
1952.0,7.0,19.9,12.9,0.0,32.6,137.4
1952.0,8.0,19.9,12.0,0.0,37.0,160.3
1952.0,9.0,13.7,8.1,0.0,70.0,77.3
1952.0,10.0,11.8,6.2,0.0,124.6,94.2
1952.0,11.0,6.6,2.3,5.0,50.7,55.5
1952.0,12.0,5.9,1.5,7.0,60.4,39.5
1953.0,1.0,6.4,2.4,3.0,21.2,26.3
1953.0,2.0,7.3,2.6,6.0,54.8,40.2
1953.0,3.0,10.6,2.0,8.0,47.8,82.4
1953.0,4.0,11.0,3.4,0.0,59.9,128.9
1953.0,5.0,17.4,8.5,0.0,61.4,180.0
1953.0,6.0,17.8,10.7,0.0,49.5,108.7
1953.0,7.0,19.4,12.0,0.0,66.1,184.4
1953.0,8.0,20.2,12.4,0.0,79.6,180.9
1953.0,9.0,18.0,10.3,0.0,34.8,142.8
1953.0,10.0,13.3,6.5,0.0,50.3,68.2
1953.0,11.0,11.2,6.3,0.0,44.0,39.7
1953.0,12.0,8.8,5.0,0.0,28.8,24.2
1954.0,1.0,5.3,1.0,11.0,70.2,27.5
1954.0,2.0,4.3,-0.2,11.0,74.5,40.5
1954.0,3.0,8.6,2.4,3.0,61.4,90.4
1954.0,4.0,11.7,4.1,0.0,7.6,120.4
1954.0,5.0,14.9,7.4,0.0,93.8,104.4
1954.0,6.0,16.4,9.9,0.0,57.2,117.5
1954.0,7.0,17.4,10.9,0.0,49.2,126.9
1954.0,8.0,17.7,11.0,0.0,166.7,98.8
1954.0,9.0,16.4,9.0,0.0,58.0,161.4
1954.0,10.0,14.9,9.2,0.0,78.7,80.5
1954.0,11.0,9.6,4.1,0.0,170.7,48.0
1954.0,12.0,8.8,4.3,2.0,95.8,31.5
1955.0,1.0,4.8,0.5,12.0,60.0,31.7
1955.0,2.0,3.5,-0.9,17.0,69.2,55.0
1955.0,3.0,6.5,-0.1,17.0,88.1,106.5
1955.0,4.0,13.5,5.9,0.0,19.0,137.0
1955.0,5.0,12.9,5.7,0.0,85.5,181.5
1955.0,6.0,17.2,9.3,0.0,85.9,121.8
1955.0,7.0,22.9,12.8,0.0,30.8,231.4
1955.0,8.0,22.0,13.5,0.0,19.3,139.2
1955.0,9.0,18.4,11.0,0.0,18.4,150.6
1955.0,10.0,13.3,6.5,2.0,60.4,130.3
1955.0,11.0,9.7,5.2,0.0,67.2,30.8
1955.0,12.0,8.1,2.9,6.0,96.4,32.7
1956.0,1.0,6.2,1.5,7.0,154.0,38.8
1956.0,2.0,3.1,-1.8,21.0,30.5,37.2
1956.0,3.0,9.1,2.3,6.0,26.4,85.2
1956.0,4.0,10.3,2.7,1.0,63.5,110.7
1956.0,5.0,16.8,7.7,0.0,11.2,231.6
1956.0,6.0,16.5,9.4,0.0,82.1,148.1
1956.0,7.0,18.7,12.4,0.0,141.7,121.8
1956.0,8.0,16.6,10.2,0.0,146.1,112.1
1956.0,9.0,17.6,10.7,0.0,83.4,98.4
1956.0,10.0,12.9,6.9,0.0,33.1,98.4
1956.0,11.0,8.8,4.4,2.0,21.4,34.7
1956.0,12.0,7.7,3.7,6.0,107.9,17.9
1957.0,1.0,8.1,2.9,5.0,44.8,28.9
1957.0,2.0,8.0,2.0,4.0,78.8,75.1
1957.0,3.0,12.2,5.8,0.0,58.2,68.8
1957.0,4.0,12.3,4.8,0.0,2.2,106.9
1957.0,5.0,14.6,6.3,0.0,27.3,160.7
1957.0,6.0,20.5,10.1,0.0,31.8,275.7
1957.0,7.0,19.5,12.9,0.0,83.2,112.3
1957.0,8.0,18.2,12.0,0.0,117.2,106.3
1957.0,9.0,15.3,9.6,0.0,98.8,111.4
1957.0,10.0,14.1,7.7,0.0,41.6,80.9
1957.0,11.0,8.7,4.9,1.0,61.3,41.4
1957.0,12.0,7.2,2.2,9.0,88.3,26.0
1958.0,1.0,6.2,1.1,13.0,86.4,45.2
1958.0,2.0,7.2,1.6,10.0,121.7,62.6
1958.0,3.0,6.1,0.8,16.0,49.9,82.9
1958.0,4.0,11.4,3.8,2.0,19.7,126.3
1958.0,5.0,15.5,7.4,0.0,71.4,151.9
1958.0,6.0,17.2,9.7,0.0,126.6,95.0
1958.0,7.0,19.5,12.2,0.0,144.6,161.0
1958.0,8.0,19.6,12.2,0.0,65.9,119.8
1958.0,9.0,18.5,11.7,0.0,85.8,93.1
1958.0,10.0,13.9,7.7,0.0,66.8,91.2
1958.0,11.0,9.2,4.4,1.0,15.6,44.9
1958.0,12.0,6.8,2.7,3.0,110.0,14.3
1959.0,1.0,4.7,-0.2,18.0,89.7,68.2
1959.0,2.0,7.6,2.7,5.0,2.2,49.7
1959.0,3.0,10.0,4.3,0.0,38.4,72.7
1959.0,4.0,13.2,5.9,0.0,88.5,139.2
1959.0,5.0,17.5,8.0,0.0,26.7,194.6
1959.0,6.0,20.0,10.9,0.0,30.7,227.8
1959.0,7.0,22.2,13.1,0.0,33.5,215.8
1959.0,8.0,22.4,13.2,0.0,18.8,201.4
1959.0,9.0,20.0,10.6,0.0,0.6,146.2
1959.0,10.0,16.4,8.3,0.0,57.4,108.2
1959.0,11.0,9.3,4.5,2.0,106.0,36.6
1959.0,12.0,8.0,3.4,0.0,116.8,18.1
1960.0,1.0,6.2,1.9,6.0,137.7,23.7
1960.0,2.0,6.5,1.2,11.0,77.9,55.4
1960.0,3.0,8.0,3.1,1.0,52.1,44.9
1960.0,4.0,13.4,5.5,0.0,38.9,147.8
1960.0,5.0,17.6,8.8,0.0,46.4,166.2
1960.0,6.0,21.7,11.5,0.0,41.4,261.8
1960.0,7.0,19.1,11.4,0.0,64.8,131.3
1960.0,8.0,19.1,11.4,0.0,80.6,143.2
1960.0,9.0,16.8,9.9,0.0,108.7,111.4
1960.0,10.0,12.4,7.5,0.0,179.0,48.1
1960.0,11.0,9.6,4.7,0.0,116.2,44.3
1960.0,12.0,6.5,2.3,4.0,91.5,47.1
1961.0,1.0,5.4,1.1,6.0,96.1,27.4
1961.0,2.0,9.6,4.2,0.0,63.1,67.9
1961.0,3.0,13.1,5.4,0.0,14.3,142.5
1961.0,4.0,13.0,6.0,0.0,84.1,85.5
1961.0,5.0,14.5,6.9,0.0,42.9,170.1
1961.0,6.0,19.2,10.4,0.0,33.9,199.7
1961.0,7.0,18.8,11.3,0.0,55.7,161.4
1961.0,8.0,19.3,11.8,0.0,62.2,187.2
1961.0,9.0,19.3,11.3,0.0,53.0,133.5
1961.0,10.0,13.9,7.7,0.0,94.9,118.7
1961.0,11.0,8.7,4.1,1.0,42.3,53.5
1961.0,12.0,5.0,-0.2,15.0,75.5,42.1
1962.0,1.0,7.3,2.1,6.0,91.2,67.1
1962.0,2.0,7.0,1.9,6.0,57.8,68.6
1962.0,3.0,6.0,-0.6,17.0,27.8,116.7
1962.0,4.0,11.1,3.9,0.0,76.3,138.1
1962.0,5.0,13.6,6.2,0.0,78.4,149.9
1962.0,6.0,18.3,9.3,0.0,13.5,206.6
1962.0,7.0,17.8,10.8,0.0,39.7,99.5
1962.0,8.0,17.8,10.8,0.0,94.9,145.6
1962.0,9.0,16.0,9.3,0.0,84.4,87.4
1962.0,10.0,13.9,7.4,1.0,32.0,85.8
1962.0,11.0,7.8,2.9,6.0,38.5,31.3
1962.0,12.0,5.3,-0.6,15.0,54.1,46.5
1963.0,1.0,1.3,-2.9,28.0,46.8,39.4
1963.0,2.0,1.4,-3.5,28.0,28.3,41.9
1963.0,3.0,8.9,1.6,6.0,72.0,93.8
1963.0,4.0,11.7,4.4,0.0,60.3,79.5
1963.0,5.0,14.6,6.4,0.0,31.5,155.1
1963.0,6.0,19.3,10.3,0.0,99.1,179.9
1963.0,7.0,19.7,11.0,0.0,68.6,173.3
1963.0,8.0,17.6,10.6,0.0,60.1,88.5
1963.0,9.0,16.9,9.2,0.0,79.5,136.6
1963.0,10.0,13.6,7.4,0.0,39.4,73.4
1963.0,11.0,9.7,5.4,1.0,132.5,33.3
1963.0,12.0,5.2,1.0,11.0,18.7,35.1
1964.0,1.0,5.8,1.0,8.0,23.1,54.8
1964.0,2.0,6.6,1.7,11.0,28.7,50.5
1964.0,3.0,5.5,1.2,8.0,122.4,46.6
1964.0,4.0,12.7,5.4,0.0,46.1,91.3
1964.0,5.0,18.2,8.7,0.0,55.5,203.0
1964.0,6.0,17.0,10.1,0.0,70.2,105.8
1964.0,7.0,19.8,11.9,0.0,50.8,184.9
1964.0,8.0,19.5,11.5,0.0,49.4,179.3
1964.0,9.0,18.7,9.3,0.0,20.8,165.1
1964.0,10.0,12.5,5.7,0.0,41.8,106.7
1964.0,11.0,9.8,4.7,2.0,40.8,40.9
